cost,cuisine,link,location,name,promoted,rating,review_count,review_link
$    $    $,Steakhouse,,Midtown West,West Side Steakhouse,,4.6 stars out of 5,(968),https://www.opentable.com/west-side-steakhouse?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=9ff9e0b6-d40f-4f72-a2dc-bdee5ce1702e#reviews
$    $    $,Italian,,Hell's Kitchen,Amarone,,4.5 stars out of 5,(947),https://www.opentable.com/r/amarone-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=9ff9e0b6-d40f-4f72-a2dc-bdee5ce1702e#reviews
$    $,Italian,,Theater District / Times Square,Daniela's,,4.2 stars out of 5,(2507),https://www.opentable.com/danielas?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=9ff9e0b6-d40f-4f72-a2dc-bdee5ce1702e#reviews
$    $,Italian,,Midtown West,Pasta Lovers Trattoria,,4.3 stars out of 5,(755),https://www.opentable.com/pasta-lovers-trattoria?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=9ff9e0b6-d40f-4f72-a2dc-bdee5ce1702e#reviews
$    $    $    $,Italian,,Upper East Side,Campagnola,,4.7 stars out of 5,(355),https://www.opentable.com/r/campagnola-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=9ff9e0b6-d40f-4f72-a2dc-bdee5ce1702e#reviews
$    $    $,Italian,,Midtown West,Mozzarella & Vino,,4.5 stars out of 5,(777),https://www.opentable.com/r/mozzarella-and-vino-new-york?corrid=9ff9e0b6-d40f-4f72-a2dc-bdee5ce1702e#reviews
$    $    $,American,,Midtown West,Clement,,4.7 stars out of 5,(736),https://www.opentable.com/r/clement-new-york?corrid=9ff9e0b6-d40f-4f72-a2dc-bdee5ce1702e#reviews
$    $    $,Contemporary American,,Midtown West,Todd English at The Plaza Food Hall,,4.3 stars out of 5,(880),https://www.opentable.com/todd-english-at-the-plaza-food-hall?corrid=9ff9e0b6-d40f-4f72-a2dc-bdee5ce1702e#reviews
$    $,American,,Midtown West,Jams - NYC,,4.5 stars out of 5,(731),https://www.opentable.com/jams-nyc?corrid=9ff9e0b6-d40f-4f72-a2dc-bdee5ce1702e#reviews
$    $    $,French American,,Rockefeller Center Midtown,Brasserie Ruhlmann,,4.4 stars out of 5,(1621),https://www.opentable.com/r/brasserie-ruhlmann-new-york?corrid=9ff9e0b6-d40f-4f72-a2dc-bdee5ce1702e#reviews
$    $    $    $,Greek,,Midtown East,NERAI,,4.7 stars out of 5,(1065),https://www.opentable.com/nerai?corrid=9ff9e0b6-d40f-4f72-a2dc-bdee5ce1702e#reviews
$    $,Italian,,Upper East Side,Bottega,,4.6 stars out of 5,(599),https://www.opentable.com/bottega-new-york?corrid=9ff9e0b6-d40f-4f72-a2dc-bdee5ce1702e#reviews
$    $    $,Italian,https://www.opentable.com/r/trattoria-dellarte-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjoxfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68,Midtown West,Trattoria Dell'Arte,Promoted,4.5 stars out of 5,(7142),https://www.opentable.com/r/trattoria-dellarte-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjoxfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,American,,Midtown East,The Palm Court at The Plaza Hotel,,4.3 stars out of 5,(3286),https://www.opentable.com/the-palm-court-at-the-plaza-hotel?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Spanish,https://www.opentable.com/r/boqueria-ues-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjoxfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68,Upper East Side,Boqueria UES,Promoted,4.6 stars out of 5,(757),https://www.opentable.com/r/boqueria-ues-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjoxfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,Mediterranean,,Midtown East,Avra Madison Estiatorio on 60th,,4.7 stars out of 5,(2050),https://www.opentable.com/r/avra-madison-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,American,https://www.opentable.com/sarabeths-central-park-south?avt=eyJ2IjoxLCJtIjoxLCJwIjoxfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68,Midtown West,Sarabeth's Central Park South,Promoted,4.5 stars out of 5,(4348),https://www.opentable.com/sarabeths-central-park-south?avt=eyJ2IjoxLCJtIjoxLCJwIjoxfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,Seafood,,Midtown West,Estiatorio Milos – Midtown New York,,4.7 stars out of 5,(5931),https://www.opentable.com/r/estiatorio-milos-ny?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,Steakhouse,,Midtown West,Quality Meats,,4.6 stars out of 5,(7981),https://www.opentable.com/r/quality-meats-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $,Italian,,Theater District / Times Square,Becco,,4.5 stars out of 5,(23106),https://www.opentable.com/r/becco-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,French,,Upper East Side,Daniel,,4.8 stars out of 5,(5896),https://www.opentable.com/r/daniel-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Steakhouse,,Midtown West,Quality Italian - New York,,4.6 stars out of 5,(3229),https://www.opentable.com/r/quality-italian-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Asian,,Midtown East,TAO Uptown,,4.5 stars out of 5,(12446),https://www.opentable.com/r/tao-uptown-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,Steakhouse,,Midtown West,Del Frisco's Double Eagle Steakhouse - New York City,,4.7 stars out of 5,(9833),https://www.opentable.com/r/del-friscos-double-eagle-steak-house-new-york-city-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Seafood,,Rockefeller Center Midtown,Ocean Prime - New York,,4.7 stars out of 5,(2992),https://www.opentable.com/ocean-prime-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Farm-to-table,,Upper East Side,JoJo,,4.7 stars out of 5,(1046),https://www.opentable.com/r/jojo-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $,French,,Midtown West,Rue 57,,4.5 stars out of 5,(3565),https://www.opentable.com/r/rue-57-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,Steakhouse,,Rockefeller Center Midtown,Mastro's Steakhouse - New York City,,4.7 stars out of 5,(2903),https://www.opentable.com/r/mastros-steakhouse-new-york-city-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,American,,Upper East Side,Freds Madison at Barneys New York,,4.5 stars out of 5,(1829),https://www.opentable.com/freds-madison-at-barneys-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,Indian,,Midtown West,Indian Accent,,4.7 stars out of 5,(1936),https://www.opentable.com/indian-accent?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $,Italian,,Upper East Side,Tony's Di Napoli - Upper East Side,,4.7 stars out of 5,(2433),https://www.opentable.com/r/tonys-di-napoli-ues-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
