cost,cuisine,link,location,name,promoted,rating,review_count,review_link
$    $    $,French,https://www.opentable.com/la-mirabelle?avt=eyJ2IjoxLCJtIjoxLCJwIjoxfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4,Upper West Side,La Mirabelle,Promoted,4.7 stars out of 5,(1530),https://www.opentable.com/la-mirabelle?avt=eyJ2IjoxLCJtIjoxLCJwIjoxfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Cuban,,Edgewater,Rebecca's,,4.5 stars out of 5,(437),https://www.opentable.com/rebeccas?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Seafood,https://www.opentable.com/r/boilery-upper-west-side-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjoxfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4,Upper West Side,Boilery Upper West Side,Promoted,4.2 stars out of 5,(23),https://www.opentable.com/r/boilery-upper-west-side-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjoxfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Contemporary American,,Upper West Side,Smoke Jazz and Supper Club,,4.5 stars out of 5,(2607),https://www.opentable.com/r/smoke-jazz-and-supper-club-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Contemporary American,,Edgewater,HAVEN Riverfront Restaurant and Bar,,4.6 stars out of 5,(1561),https://www.opentable.com/r/haven-riverfront-restaurant-and-bar-edgewater?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Indian,,Upper West Side,Awadh,,4.5 stars out of 5,(704),https://www.opentable.com/r/awadh-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Italian,,Upper West Side,Carmine's - 91st Street - NYC,,4.5 stars out of 5,(5878),https://www.opentable.com/carmines-91st-street-nyc?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Seafood,,Upper West Side,The Mermaid Inn Uptown,,4.7 stars out of 5,(3094),https://www.opentable.com/the-mermaid-inn-uptown?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Latin American,https://www.opentable.com/calle-ocho?avt=eyJ2IjoxLCJtIjoxLCJwIjoxfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4,Upper West Side,Calle Ocho,Promoted,4.7 stars out of 5,(3840),https://www.opentable.com/calle-ocho?avt=eyJ2IjoxLCJtIjoxLCJwIjoxfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $    $,Greek,,Upper West Side,Elea,,4.6 stars out of 5,(466),https://www.opentable.com/r/elea-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Italian,,Upper West Side,Lucciola,,4.5 stars out of 5,(373),https://www.opentable.com/r/lucciola-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,American,,Edgewater,Pier 115 Bar and Grill,,4.4 stars out of 5,(674),https://www.opentable.com/pier-115-bar-and-grill?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Mediterranean,,Upper West Side,Bustan,,4.7 stars out of 5,(916),https://www.opentable.com/r/bustan-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Pizza Bar,,Upper West Side,Fumo Upper West,,4.6 stars out of 5,(140),https://www.opentable.com/r/fumo-upper-west-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Italian,,Upper West Side,Pizzeria Sirenetta,,4.7 stars out of 5,(723),https://www.opentable.com/pizzeria-sirenetta?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,French,,Upper West Side,Cafe Du Soleil,,4.4 stars out of 5,(644),https://www.opentable.com/r/cafe-du-soleil-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Italian,,Upper West Side,Serafina 105,,4.5 stars out of 5,(123),https://www.opentable.com/r/serafina-105-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,American,,Upper West Side,The Milling Room,,4.6 stars out of 5,(1710),https://www.opentable.com/r/the-milling-room-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Seafood,,Upper West Side,Crave Fishbar - UWS,,4.5 stars out of 5,(1290),https://www.opentable.com/r/crave-fishbar-uws-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,American,,Midtown West,Tavern on the Green,,4.6 stars out of 5,(10866),https://www.opentable.com/tavern-on-the-green?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Italian,,Upper West Side,Osteria 106,,4.8 stars out of 5,(247),https://www.opentable.com/r/osteria-106-new-york-2?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,French American,,Upper West Side,Cafe Luxembourg,,4.7 stars out of 5,(5825),https://www.opentable.com/cafe-luxembourg?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Sushi,,Upper West Side,Sushi Yasaka,,4.7 stars out of 5,(2054),https://www.opentable.com/sushi-yasaka?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,American,,North Bergen,Waterside Restaurant and Catering,,4.2 stars out of 5,(627),https://www.opentable.com/waterside-restaurant-and-catering?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,American,,Upper West Side,Sarabeth's West,,4.5 stars out of 5,(1937),https://www.opentable.com/r/sarabeths-west-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Turkish,,Upper West Side,Bodrum Turkish Mediterranean,,4.7 stars out of 5,(934),https://www.opentable.com/r/bodrum-turkish-mediterranean-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Vegan,,Upper West Side,Blossom on Columbus,,4.6 stars out of 5,(941),https://www.opentable.com/blossom-on-columbus?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,American,,Upper West Side,5 Napkin Burger - Upper West Side,,4.5 stars out of 5,(1291),https://www.opentable.com/r/5-napkin-burger-upper-west-side-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Italian,,Upper West Side,Arco Cafe,,4.6 stars out of 5,(302),https://www.opentable.com/arco-cafe?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,American,,Lincoln Square,The Smith- Lincoln Square,,4.5 stars out of 5,(7596),https://www.opentable.com/the-smith-lincoln-square?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Mediterranean,,Upper West Side,TESSA,,4.5 stars out of 5,(1356),https://www.opentable.com/r/tessa-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,American,,Upper West Side,The Ellington,,4.4 stars out of 5,(266),https://www.opentable.com/r/the-ellington-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Cajun,,Upper West Side,Shaking Crab - Upper West Side,,4.6 stars out of 5,(264),https://www.opentable.com/r/shaking-crab-upper-west-side-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Italian,,Upper West Side,Serafina Upper West,,4.3 stars out of 5,(299),https://www.opentable.com/serafina-upper-west?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Italian,,Upper West Side,Salumeria Rosi,,4.6 stars out of 5,(1073),https://www.opentable.com/salumeria-rosi?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Japanese,,Upper West Side,Kouzan,,4.4 stars out of 5,(468),https://www.opentable.com/kouzan?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Italian,,Harlem,Lido,,4.7 stars out of 5,(1396),https://www.opentable.com/lido?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Italian,,Upper West Side,Coppola's West,,4.5 stars out of 5,(942),https://www.opentable.com/r/coppolas-west-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,French,,Upper West Side,Le Monde,,4.1 stars out of 5,(260),https://www.opentable.com/r/le-monde-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Italian,,Upper West Side,Ortomare Ristorante Pizzeria,,4.8 stars out of 5,(93),https://www.opentable.com/r/ortomare-ristorante-pizzeria-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Greek,,Upper West Side,Kefi,,4.4 stars out of 5,(322),https://www.opentable.com/r/kefi-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Indian,,Upper West Side,Aangan,,4.7 stars out of 5,(274),https://www.opentable.com/r/aangan-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Thai,,Upper West Side,Sala Thai,,4.7 stars out of 5,(239),https://www.opentable.com/r/sala-thai-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,French American,,Upper West Side,The Consulate,,4.2 stars out of 5,(70),https://www.opentable.com/r/the-consulate-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Mediterranean,,Upper West Side,Lokal Mediterranean Kitchen,,4.6 stars out of 5,(359),https://www.opentable.com/r/lokal-mediterranean-kitchen-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Californian,,Upper West Side,Playa Betty's,,4.5 stars out of 5,(712),https://www.opentable.com/r/playa-bettys-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Wine Bar,,Upper West Side,Vino Levantino,,4.3 stars out of 5,(153),https://www.opentable.com/vino-levantino?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,French,,Upper West Side,La Sirene UWS,,4.6 stars out of 5,(430),https://www.opentable.com/r/la-sirene-uws-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Southern,,Harlem,Red Rooster Harlem,,4.6 stars out of 5,(7294),https://www.opentable.com/red-rooster-harlem?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,American,,Upper West Side,Hi-Life Restaurant - Upper West Side,,4.6 stars out of 5,(419),https://www.opentable.com/r/hi-life-restaurant-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Italian,,Upper West Side,Pappardella,,4.5 stars out of 5,(1458),https://www.opentable.com/r/pappardella-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $    $,Sushi,,Upper West Side,Sushi of Gari - Columbus Avenue,,4.7 stars out of 5,(956),https://www.opentable.com/sushi-of-gari-columbus-avenue?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,American,,Upper West Side,Amity Hall Uptown,,4.5 stars out of 5,(53),https://www.opentable.com/amity-hall-uptown?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Cuban,,West New York,Rumba Cubana - Guttenberg,,4.8 stars out of 5,(148),https://www.opentable.com/r/rumba-cubana-guttenberg-west-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $    $,Mediterranean,,Lincoln Square,Boulud Sud,,4.6 stars out of 5,(6027),https://www.opentable.com/r/boulud-sud-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Contemporary American,,Upper West Side,The Ribbon - UWS,,4.4 stars out of 5,(1320),https://www.opentable.com/r/the-ribbon-nyc?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Italian,,Lincoln Square,Cafe Fiorello,,4.4 stars out of 5,(7426),https://www.opentable.com/r/cafe-fiorello-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Italian,,Upper West Side,'Cesca,,4 stars out of 5,(3489),https://www.opentable.com/r/cesca-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $    $,Sushi,,Upper West Side,Sushi Kaito,,4.9 stars out of 5,(350),https://www.opentable.com/r/sushi-kaito-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Seafood,,Upper West Side,Atlantic Grill Near Lincoln Center,,4.4 stars out of 5,(6486),https://www.opentable.com/atlantic-grill-near-lincoln-center?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Greek,,Upper West Side,Telio,,4.1 stars out of 5,(102),https://www.opentable.com/telio?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,American,,Upper West Side,New Amsterdam Burger and Bar,,4.4 stars out of 5,(35),https://www.opentable.com/r/new-amsterdam-burger-and-bar-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,French,,Upper West Side,Bar Boulud,,4.5 stars out of 5,(7785),https://www.opentable.com/r/bar-boulud-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,French,,Harlem,RDV Harlem,,4.6 stars out of 5,(250),https://www.opentable.com/r/rdv-harlem-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Italian,,Upper East Side,Paola's Restaurant,,4.5 stars out of 5,(1419),https://www.opentable.com/paolas-restaurant?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Italian,,Upper West Side,Lincoln Ristorante,,4.6 stars out of 5,(5545),https://www.opentable.com/r/lincoln-ristorante-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Italian,,Upper West Side,Arte Cafe - Upper West Side,,4.3 stars out of 5,(2939),https://www.opentable.com/r/arte-cafe-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Mediterranean,,Upper West Side,8th Hill Inspired Mediterranean Cuisine,,4.3 stars out of 5,(217),https://www.opentable.com/r/8th-hill-inspired-mediterranean-cuisine-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,American,,Weehawken,Jack Austin's,,3.8 stars out of 5,(33),https://www.opentable.com/jack-austins?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Indian,,Upper West Side,Indus Valley / Manhattan Valley,,4.2 stars out of 5,(192),https://www.opentable.com/indus-valley-manhattan-valley?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Japanese,,Upper West Side,Haru Sushi - Amsterdam Ave,,4.5 stars out of 5,(128),https://www.opentable.com/r/haru-sushi-amsterdam-ave-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $    $,French,,Upper East Side,Café Boulud,,4.6 stars out of 5,(6104),https://www.opentable.com/r/cafe-boulud-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Mexican,,Lincoln Square,Rosa Mexicano by Lincoln Center,,4.3 stars out of 5,(7488),https://www.opentable.com/r/rosa-mexicano-by-lincoln-center-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Middle Eastern,,Upper West Side,Gazala’s,,4.4 stars out of 5,(228),https://www.opentable.com/r/gazalas-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Italian,,Lincoln Square,Joanne Trattoria,,4.4 stars out of 5,(2533),https://www.opentable.com/r/joanne-trattoria-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Italian,,Upper West Side,Pomodoro Rosso,,4.5 stars out of 5,(1182),https://www.opentable.com/r/pomodoro-rosso-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,French,,Upper West Side,Le Petit Rooster,,4 stars out of 5,(109),https://www.opentable.com/r/le-petit-rooster-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Italian,,Upper West Side,Trattoria iL Gusto Wine Bar,,4.5 stars out of 5,(131),https://www.opentable.com/r/trattoria-il-gusto-wine-bar-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Mexican,,Upper West Side,Cafe Frida - Columbus Ave,,4.4 stars out of 5,(1003),https://www.opentable.com/r/cafe-frida-columbus-ave-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Italian,,Upper West Side,Bettola NYC,,4.4 stars out of 5,(479),https://www.opentable.com/r/bettola-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Italian,,Upper West Side,Cibo e Vino,,4.2 stars out of 5,(451),https://www.opentable.com/cibo-e-vino?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Pizzeria,,Upper West Side,Numero 28 Pizzeria - UWS,,4.3 stars out of 5,(64),https://www.opentable.com/numero-28-pizzeria-uws?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $    $,Italian,,Upper West Side,The Leopard at des Artistes,,4.6 stars out of 5,(1780),https://www.opentable.com/r/the-leopard-at-des-artistes-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $    $,American,,Midtown West,Porter House Bar and Grill,,4.6 stars out of 5,(4783),https://www.opentable.com/r/porter-house-bar-and-grill-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Italian,,Upper West Side,.Tarallucci e Vino Upper West Side,,4.5 stars out of 5,(121),https://www.opentable.com/r/tarallucci-e-vino-upper-west-side-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Spanish,,Upper West Side,Ella Kitchen & Bar,,4.5 stars out of 5,(640),https://www.opentable.com/r/ella-kitchen-and-bar-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,French,,Lincoln Square,La Boite en Bois,,4.4 stars out of 5,(2764),https://www.opentable.com/la-boite-en-bois?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,French American,,Upper West Side,French Roast Uptown,,4.4 stars out of 5,(185),https://www.opentable.com/r/french-roast-uptown-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $    $,Contemporary American,,Upper East Side,The Mark Restaurant by Jean-Georges,,4.4 stars out of 5,(2192),https://www.opentable.com/r/the-mark-restaurant-by-jean-georges-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $    $,American,,Lincoln Square,The Grand Tier Restaurant,,4.6 stars out of 5,(3594),https://www.opentable.com/r/the-grand-tier-restaurant-at-the-metropolitan-opera-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $    $,Japanese,,Upper East Side,Kappo Masa,,4.8 stars out of 5,(358),https://www.opentable.com/kappo-masa?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Contemporary Italian,,Upper West Side,Storico,,4.4 stars out of 5,(1565),https://www.opentable.com/r/storico-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,French,,Upper West Side,Nice Matin,,4.4 stars out of 5,(2622),https://www.opentable.com/r/nice-matin-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,American,,Upper West Side,Harvest Kitchen,,4.3 stars out of 5,(288),https://www.opentable.com/r/harvest-kitchen-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Steak,,Edgewater,Fleming's Steakhouse - Edgewater,,4.7 stars out of 5,(951),https://www.opentable.com/flemings-steakhouse-edgewater?corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Japanese,,Upper West Side,Gyu-Kaku - Manhattan - Amsterdam Ave.,,4.7 stars out of 5,(20),https://www.opentable.com/r/gyu-kaku-manhattan-amsterdam-ave-new-york?corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $,Italian,,Upper West Side,Bella Luna - NYC,,4.5 stars out of 5,(1144),https://www.opentable.com/bella-luna-new-york?corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
$    $    $,Italian,,Midtown West,Marea,,4.8 stars out of 5,(7695),https://www.opentable.com/r/marea-new-york?corrid=3d11f50e-d5a8-4c31-9f1c-1f4d6cb37cf4#reviews
